|--------------------------------------------------------------------|----------------------------------------|-------------------------------|----------|---------------------|--------------------------------------------|---------------------------|--------------------------------------------|-------------------------------|-----------------|------------|
| Transaction Hash                                                   | Status                                 | Method                        | Blockno  | DateTime (UTC)      | From                                       | From_Nametag              | To                                         | To_Nametag                    | Value           | Txn Fee    |
|--------------------------------------------------------------------|----------------------------------------|-------------------------------|----------|---------------------|--------------------------------------------|---------------------------|--------------------------------------------|-------------------------------|-----------------|------------|
| 0xcc9d097c3de7a2fd258d029c375c9567309ef63778a2d01185ca61c49f386589 | Success                                | Transfer                      | 20186897 | 2024-06-28 01:27:47 | 0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97 | titanbuilder.eth          | 0x851215df10c1ac1875c70990c36432aa9bab297b |                               | 0.108523912 ETH | 0.00014823 |
|--------------------------------------------------------------------|----------------------------------------|-------------------------------|----------|---------------------|--------------------------------------------|---------------------------|--------------------------------------------|-------------------------------|-----------------|------------|
| 0x20ee586bd7341964670750e6f9622cfc9c059bb1fba3da98d822bc2d890d8fca | Success                                | Execute                       | 20186897 | 2024-06-28 01:27:47 | 0x00eedb8711b0a15fbeae7dd2f2a74a12a5d2b9b3 |                           | 0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad | Uniswap: Universal Router     | 0.08 ETH        | 0.00114494 |
|--------------------------------------------------------------------|----------------------------------------|-------------------------------|----------|---------------------|--------------------------------------------|---------------------------|--------------------------------------------|-------------------------------|-----------------|------------|
| 0x49bd3d5379646c24a7053bee7662a8c679152cd65ad88e53093997e6f9562b90 | Success                                | Buy With Eth                  | 20186897 | 2024-06-28 01:27:47 | 0x6f8deab52b63a58a0ec042b8d9136cb3c819d81e |                           | 0xf3c70851859da2f5d219e9508a20b3481db90a41 |                               | 0.00346 ETH     | 0.00123784 |
|--------------------------------------------------------------------|----------------------------------------|-------------------------------|----------|---------------------|--------------------------------------------|---------------------------|--------------------------------------------|-------------------------------|-----------------|------------|
| 0x9a5f54fd4725761b3bb1cad6d7aabadc3e3e6be5a6dc9eb93b243206964a15af | Success                                | Execute                       | 20186897 | 2024-06-28 01:27:47 | 0xa35761d94e52f49d631578c71a48d23e560300d6 |                           | 0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad | Uniswap: Universal Router     | 0.039538199 ETH | 0.00134357 |
|--------------------------------------------------------------------|----------------------------------------|-------------------------------|----------|---------------------|--------------------------------------------|---------------------------|--------------------------------------------|-------------------------------|-----------------|------------|
